season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,208,"Maury, TN - Giles, TN","Giles, Lewis, Marshall, Maury",Tennessee,1/6/2024,8.27
2023-2024,209,"Jackson, NC - Macon, NC","Graham, Jackson, Macon, Swain",North Carolina,12/30/2023,14.58
2023-2024,21,"Ontario (Geneva), NY - Wayne, NY","Ontario, Seneca, Wayne, Yates",New York,12/30/2023,4.86
2023-2024,211,"Rutherford (Murfreesboro), TN - Warren, TN","Cannon, DeKalb, Rutherford, Van Buren, Warren",Tennessee,12/30/2023,6.15
2023-2024,212,"Charleston (Charleston), SC - Berkeley, SC","Berkeley, Charleston, Colleton, Dorchester, Hampton",South Carolina,12/30/2023,6.01
2023-2024,214,"Nash, NC - Halifax, NC","Edgecombe, Halifax, Nash, Northampton",North Carolina,12/30/2023,17.87
2023-2024,215,"Putnam, TN - White, TN","Clay, Jackson, Overton, Pickett, Putnam, White",Tennessee,12/30/2023,5.72
2023-2024,216,"Stephens, GA - Hart, GA","Franklin, Hart, Stephens",Georgia,12/23/2023,14.11
2023-2024,217,"Hamblen (Morristown), TN - Jefferson, TN","Grainger, Hamblen, Hancock, Jefferson",Tennessee,12/30/2023,7.16
2023-2024,218,"Gaston (Gastonia), NC - Cleveland, NC","Cleveland, Gaston, Lincoln, Rutherford",North Carolina,12/23/2023,18.12
2023-2024,22,"Middlesex, MA - Suffolk (Boston), MA","Barnstable, Dukes, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk",Massachusetts,12/30/2023,3.96
2023-2024,220,"Jasper, GA",Jasper,Georgia,12/30/2023,15.96
2023-2024,222,"Bulloch, GA - Emanuel, GA","Bulloch, Candler, Emanuel, Screven",Georgia,12/30/2023,9.92
2023-2024,223,"Cumberland, TN - Fentress, TN","Bledsoe, Cumberland, Fentress",Tennessee,1/6/2024,4.67
2023-2024,225,"Buncombe (Asheville), NC - Henderson, NC","Buncombe, Haywood, Henderson, Madison, Transylvania",North Carolina,12/30/2023,9.41
2023-2024,226,"Anderson (Oak Ridge), TN - Roane, TN","Anderson, Campbell, Morgan, Rhea, Roane",Tennessee,12/30/2023,5.88
2023-2024,228,"Decatur, GA - Seminole, GA","Decatur, Miller, Seminole",Georgia,12/16/2023,3.28
2023-2024,229,"Catawba (Hickory), NC - Burke, NC","Burke, Caldwell, Catawba",North Carolina,12/30/2023,17.17
2023-2024,23,"Camden (Camden), NJ - Burlington, NJ","Burlington, Camden, Gloucester, Salem",New Jersey,12/30/2023,4.69
2023-2024,230,"Wayne, GA - Appling, GA","Appling, Wayne",Georgia,11/18/2023,10.33
2023-2024,231,"Sumner (Hendersonville), TN - Wilson, TN","Macon, Smith, Sumner, Trousdale, Wilson",Tennessee,12/30/2023,7.85
2023-2024,232,"Lawrence, TN - Wayne, TN","Lawrence, Perry, Wayne",Tennessee,12/30/2023,8.32
2023-2024,234,"Montgomery (Clarksville), TN - Stewart, TN","Houston, Montgomery, Stewart",Tennessee,1/6/2024,3.29
2023-2024,235,"Cabarrus (Concord), NC - Rowan, NC","Cabarrus, Rowan, Stanly",North Carolina,12/23/2023,15.86
2023-2024,238,"Wayne, NC - Lenoir, NC","Duplin, Greene, Lenoir, Wayne",North Carolina,12/23/2023,16.43
2023-2024,239,"Coffee, TN - Franklin, TN","Coffee, Franklin, Grundy, Moore",Tennessee,1/6/2024,8.51
2023-2024,240,"Yancey, NC - Avery, NC","Avery, Mitchell, Yancey",North Carolina,12/30/2023,9.55
2023-2024,242,"Onslow, NC - Craven, NC","Carteret, Craven, Jones, Onslow, Pamlico",North Carolina,12/30/2023,9.82
2023-2024,243,"Hertford, NC - Bertie, NC","Bertie, Chowan, Gates, Hertford",North Carolina,12/23/2023,13.47
2023-2024,244,"York (Rock Hill), SC - Chester, SC","Chester, York",South Carolina,12/30/2023,18.37
2023-2024,245,"Hardin, TN - McNairy, TN","Hardin, McNairy",Tennessee,1/6/2024,4.73
2023-2024,246,"Horry, SC - Georgetown, SC","Georgetown, Horry",South Carolina,12/23/2023,8.81
2023-2024,248,"Dyer, TN - Lauderdale, TN","Dyer, Lake, Lauderdale",Tennessee,12/30/2023,10.04
2023-2024,249,"Lancaster, SC - Kershaw, SC","Kershaw, Lancaster",South Carolina,12/30/2023,9.11
2023-2024,25,"Frederick, VA - Shenandoah, VA","Clarke, Frederick, Shenandoah, Warren, Winchester City",Virginia,12/30/2023,9.89
2023-2024,252,"Greene, TN - Cocke, TN","Cocke, Greene",Tennessee,12/30/2023,7.78
2023-2024,256,"Wilkes, NC",Wilkes,North Carolina,12/30/2023,16.85
2023-2024,258,"Cherokee, NC - Clay, NC","Cherokee, Clay",North Carolina,12/30/2023,5.33
2023-2024,260,"Bedford, TN",Bedford,Tennessee,2/24/2024,8.45
2023-2024,261,"McDowell, NC",McDowell,North Carolina,12/30/2023,4.96
2023-2024,262,"Cumberland (Fayetteville), NC - Sampson, NC","Cumberland, Sampson",North Carolina,12/23/2023,15.11
2023-2024,263,"Scott, TN",Scott,Tennessee,3/30/2024,2.87
2023-2024,264,"Pasquotank, NC - Dare, NC","Camden, Dare, Pasquotank, Perquimans",North Carolina,12/30/2023,4.94
2023-2024,267,"Alamance, NC",Alamance,North Carolina,12/30/2023,17.86
2023-2024,269,"Upson, GA - Lamar, GA","Lamar, Pike, Upson",Georgia,12/23/2023,18.7
2023-2024,27,"Boyle, KY - Lincoln, KY","Boyle, Casey, Garrard, Lincoln, Mercer",Kentucky,1/13/2024,5.41
2023-2024,271,"Grand Traverse, MI - Manistee, MI","Antrim, Benzie, Grand Traverse, Kalkaska, Leelanau, Manistee",Michigan,3/2/2024,4.56
2023-2024,272,"Jefferson (Louisville), KY - Bullitt, KY","Bullitt, Henry, Jefferson, Marion, Nelson, Oldham, Shelby, Spencer, Washington",Kentucky,2/17/2024,6.39
2023-2024,273,"Wabash, IL",Wabash,Illinois,2/10/2024,5.26
2023-2024,274,"Wayne (Detroit), MI - Oakland, MI","Macomb, Oakland, Wayne",Michigan,2/24/2024,5.56
2023-2024,275,"Marion (Indianapolis), IN - Johnson, IN","Hendricks, Johnson, Marion, Morgan, Putnam, Rush, Shelby",Indiana,2/10/2024,4.74
2023-2024,277,"Peoria (Peoria), IL - Tazewell, IL","Fulton, Marshall, Mason, Peoria, Tazewell",Illinois,3/2/2024,4.89
