season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,325,"St. Clair (Belleville), IL - Clinton, IL","Clinton, Monroe, Randolph, St. Clair",Illinois,12/23/2023,1.76
2023-2024,326,"Rock (Janesville), WI - Green, WI","Green, Lafayette, Rock",Wisconsin,12/30/2023,2.08
2023-2024,327,"Berrien (Benton Harbor), MI - Van Buren, MI","Berrien, Cass, Van Buren",Michigan,12/30/2023,0.48
2023-2024,328,"Genesee (Flint), MI - Lapeer, MI","Genesee, Lapeer",Michigan,12/16/2023,1.53
2023-2024,329,"Lawrence, IN - Orange, IN","Lawrence, Orange",Indiana,8/5/2023,0
2023-2024,33,"Henrico (Richmond), VA - Chesterfield, VA","Amelia, Charles City, Charlotte, Chesterfield, Colonial Heights City, Cumberland, Essex, Goochland, Hanover, Henrico, King William, King and Queen, Lancaster, Middlesex, New Kent, Northumberland, Nottoway, Powhatan, Prince Edward, Richmond, Richmond City, Westmoreland",Virginia,11/11/2023,0.97
2023-2024,330,"Midland (Midland), MI - Isabella, MI","Clare, Gladwin, Isabella, Midland",Michigan,12/30/2023,1.97
2023-2024,331,"Williamson, IL - Jackson, IL","Franklin, Jackson, Perry, Williamson",Illinois,12/16/2023,2.2
2023-2024,332,"Huntington, IN - Adams, IN","Adams, Huntington, Jay, Wells",Indiana,12/30/2023,3.57
2023-2024,333,"Vermilion, IL - Edgar, IL","Edgar, Vermilion",Illinois,12/23/2023,2.79
2023-2024,334,"Macoupin, IL - Montgomery, IL","Macoupin, Montgomery",Illinois,2/10/2024,2.84
2023-2024,335,"Jefferson, IL - Wayne, IL","Jefferson, Wayne",Illinois,12/30/2023,3.2
2023-2024,336,"La Salle, IL - Livingston, IL","Bureau, La Salle, Livingston, Putnam",Illinois,12/30/2023,2.08
2023-2024,338,"McLean (Bloomington), IL - Woodford, IL","De Witt, McLean, Woodford",Illinois,12/30/2023,2.22
2023-2024,339,"Floyd (New Albany), IN - Harrison, IN","Crawford, Floyd, Harrison, Washington",Indiana,12/30/2023,1.98
2023-2024,341,"Monroe (Bloomington), IN - Greene, IN","Brown, Greene, Monroe, Owen",Indiana,12/16/2023,2.3
2023-2024,342,"Bay (Bay City), MI - Iosco, MI","Arenac, Bay, Iosco, Ogemaw, Oscoda",Michigan,12/30/2023,1.95
2023-2024,343,"Kankakee (Kankakee), IL - Iroquois, IL","Iroquois, Kankakee",Illinois,11/25/2023,2.26
2023-2024,344,"Outagamie (Appleton), WI - Waupaca, WI","Outagamie, Waupaca",Wisconsin,12/30/2023,1.42
2023-2024,348,"Kalamazoo (Kalamazoo), MI - St. Joseph, MI","Kalamazoo, St. Joseph",Michigan,12/9/2023,0.6
2023-2024,349,"Elkhart (Elkhart), IN - Kosciusko, IN","Elkhart, Kosciusko",Indiana,1/6/2024,2.52
2023-2024,35,"Cattaraugus, NY - Allegany, NY","Allegany, Cattaraugus",New York,12/30/2023,2.78
